Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871),S(870),HO2(15)
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952015318621366e-29,1.1468908579185885e-37,7.742362783843486e-33,0.0,0.2099999999789998,1.5904436425620928e-32,9.999999998999197e-16,2.8398150655442553e-46,0.0,7.953605762266303e-29,3.382807657757412e-36,8.24712646831573e-37,4.6589521525741406e-38,8.658811948164388e-41,2.396468771661957e-41,1.437709024835284e-44,2.0795099923315566e-45,1.319370078756392e-46,1.1468930831777198e-37
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5900951916161088e-28,4.585527324900121e-37,1.5476686558451462e-32,0.0,0.2099999999789998,6.360744964733123e-32,9.999999998998402e-16,4.540111545064899e-45,0.0,1.5907312661144957e-28,1.3379857414031685e-35,2.934071927834405e-36,1.0245394132697701e-37,3.502586825562461e-40,1.9156078634813798e-40,2.2972202564075332e-43,2.6570073194484943e-44,1.2012460886830797e-45,4.585531815168127e-37
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1789292075639134e-28,1.8326688325249724e-36,3.0923251671658933e-32,0.0,0.2099999999789998,2.5434383107288335e-31,9.99999999899681e-16,7.252912266261161e-44,0.0,3.181472645889974e-28,5.234675864573391e-35,9.57516731596973e-36,2.145431158268408e-37,1.3859189979470431e-39,1.5300317794410707e-39,3.665719833023407e-42,3.0228518486770107e-43,1.0300820602194075e-44,1.832669794030298e-36
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058732237700019e-28,6.811174908515538e-36,5.888343190087642e-32,0.0,0.2099999999789998,9.46050846823983e-31,9.999999998993923e-16,1.0564766076414242e-42,0.0,6.068192746280946e-28,1.868400581711893e-34,2.6078748775176014e-35,4.175152970725062e-37,4.974125006435031e-39,1.1213184901480156e-38,5.327653155047758e-41,2.7980132072593018e-42,7.83091918709526e-44,6.811177660583942e-36
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.352788595606703e-28,7.31952959430559e-36,6.173844270494158e-32,0.0,0.2099999999789998,1.016680971058784e-30,9.99999999899363e-16,1.156947372751577e-42,0.0,6.362955405439919e-28,2.0057315359731608e-34,2.776392758967331e-35,4.382407632758857e-37,5.340516311407368e-39,1.2201930558847207e-38,5.834228585859058e-41,3.0528517100701834e-42,8.525351887984235e-44,7.319532529208186e-36
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685309271841292e-27,2.9201539768597797e-35,1.2310875836550926e-31,0.0,0.2099999999789998,4.061165171463095e-30,9.999999998987265e-16,1.8401109548760526e-41,0.0,1.2725920924535758e-27,7.396023661522486e-34,7.071853218608816e-35,8.837475706041838e-37,1.974880515130766e-38,9.701610490228222e-38,9.23774392604455e-40,2.794646670790844e-41,6.9081009318209816e-43,2.920156172562054e-35
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.528984863541381e-27,1.1631985333154316e-34,2.4506494897419125e-31,0.0,0.2099999999789998,1.620033194792184e-29,9.999999998974539e-16,2.9099642355483303e-40,0.0,2.5451851962711243e-27,2.55378268093567e-33,1.615782629710605e-34,1.769046866154246e-36,6.828751751073004e-38,7.668141632383e-37,1.447897548321713e-38,2.387019555376329e-40,5.512698013646408e-42,1.1632015143979536e-34
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922059950905e-27,4.625717314434769e-34,4.870055179638519e-31,0.0,0.2099999999789998,6.444933772702978e-29,9.999999998949084e-16,4.5517362623717615e-39,0.0,5.090371403899742e-27,7.98095058952425e-33,3.4425358770350127e-34,3.5252857902285646e-36,2.135585113318915e-37,5.992758287484191e-36,2.2252488756558357e-37,1.9429704843522824e-39,4.329036533961969e-41,4.625762974033949e-34
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139021796284e-27,7.267203612075979e-34,5.792185424897141e-31,0.0,0.2099999999789998,1.0105735088923913e-28,9.999999998939304e-16,1.708284239895596e-38,0.0,6.0681963871743014e-27,1.0672498611557158e-32,4.1395661748618045e-34,4.194641785790167e-36,2.8561911804753265e-37,1.3654132412010693e-35,8.129951155525922e-37,4.487082789681637e-39,9.878820162110918e-41,7.267374610059114e-34
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.925720021014308e-27,1.8376796714856313e-33,9.670491294489731e-31,0.0,0.2099999999789998,2.5502374885865002e-28,9.999999998898175e-16,6.978631105958104e-38,0.0,1.0180743819131063e-26,2.1992641883956742e-32,7.071144126290296e-34,7.009826842111023e-36,5.886924370593102e-37,4.5876426810306425e-35,3.296401513722983e-36,1.5187139248511176e-38,3.3220163243187697e-40,1.8377494862439698e-33
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292603463417e-26,7.3006480605009e-33,1.920925140117554e-30,0.0,0.2099999999789998,9.985622287965493e-28,9.999999998796357e-16,1.034319437035514e-36,0.0,2.036148864949004e-26,5.351929396925477e-32,1.4279776649434365e-33,1.3933731958019654e-35,1.4328210142916323e-36,3.3915552831842736e-34,4.575361375651675e-35,1.1346402675487087e-37,2.4588678044572957e-39,7.301682436832213e-33
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.6891164870882776e-26,2.9004942598192144e-32,3.8159039241194015e-30,0.0,0.2099999999789998,3.831810471018718e-27,9.999999998592722e-16,1.4575831272143118e-35,0.0,4.0722978309793374e-26,1.1857732377207376e-31,2.8598971335132926e-33,2.7688765075023236e-35,3.174794387555319e-36,2.3807780557143626e-33,5.717201341759353e-34,8.007047021635746e-37,1.7270972202426117e-38,2.9019518543250593e-32
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518165309752e-26,7.117646424233847e-32,5.652825306536958e-30,0.0,0.2099999999789998,8.896773551691388e-27,9.999999998393113e-16,1.0192327787329506e-34,0.0,6.068196751020195e-26,1.8206675143667684e-31,4.247918432962401e-33,4.102236795616469e-35,4.874774021358138e-36,8.892342293155018e-33,3.308085631954022e-33,2.997488918870498e-36,6.452475962863235e-38,7.127838768975784e-32
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991508804213e-26,1.150488793185942e-31,7.563834779515246e-30,0.0,0.2099999999789998,1.4166020521157254e-26,9.999999998185453e-16,1.927936871858493e-34,0.0,8.144595762874148e-26,2.481168823036529e-31,5.6919224482305525e-33,5.489375170654438e-35,6.643318508434549e-36,1.5666535821937796e-32,6.154816274777035e-33,5.282875483803977e-36,1.1368442224126747e-37,1.152416732333348e-31
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429487672113e-25,4.540076054234853e-31,1.4898364132637623e-29,0.0,0.2099999999789998,4.9117467713782415e-26,9.999999997370915e-16,2.3791168164567922e-33,0.0,1.6289191626000356e-25,5.017807368713714e-31,1.1234055989634992e-32,1.0813266293712463e-34,1.3435371320158157e-35,9.609617803852208e-32,5.516106144336978e-32,3.2446735999586996e-35,6.9742669325394865e-37,4.5638672269491015e-31
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380107011622e-25,1.7713074200237803e-30,2.8949855540373456e-29,0.0,0.2099999999789998,1.5440905641544826e-25,9.999999995741836e-16,2.714530634359183e-32,0.0,3.2578383349599105e-25,9.87765082322559e-31,2.1851674492040557e-32,2.101277692290086e-34,2.6447991527115076e-35,5.44278228197899e-31,4.0439904880664855e-31,1.8389374536913585e-34,3.9504386909897665e-36,1.7984527272761938e-30
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.1596088343722025e-25,6.072015746495077e-30,5.123401416840079e-29,0.0,0.2099999999789998,3.908539307033898e-25,9.999999992931204e-16,2.457479112426531e-31,0.0,6.06819678516354e-25,1.7584847509997503e-30,3.8690078867287736e-32,3.71881070834288e-34,4.7084628145161246e-35,2.476837263083685e-30,2.1409354912765635e-30,8.371022545760232e-34,1.7977825638084256e-35,6.317763659423029e-30
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.230602706579643e-25,6.75679690085974e-30,5.4782213839469e-29,0.0,0.2099999999789998,4.285019137023561e-25,9.99999999248368e-16,2.8055495528433193e-31,0.0,6.515676678618196e-25,1.8812027463494496e-30,4.137117721445269e-32,3.976362730445344e-34,5.037050079049467e-35,2.7845493668414332e-30,2.417435858053713e-30,9.411095117578939e-34,2.0211339165897145e-35,7.037351857953006e-30
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.529575116862255e-25,2.4725381316070335e-29,9.872238599744887e-29,0.0,0.2099999999789998,1.0501507602603514e-24,9.99999998596737e-16,2.571572788620749e-30,0.0,1.3031353361688912e-24,3.400917080131758e-30,7.457334559967482e-32,7.165833797443407e-34,9.106206965044147e-35,1.2587232340807963e-29,1.1901070974702662e-29,4.254848746063783e-33,9.136465236085339e-35,2.7296954108241516e-29
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.6306610234417274e-25,8.433121713332107e-29,1.6374217899630305e-28,0.0,0.2099999999789998,2.343085052522261e-24,9.999999972934747e-16,2.066970633021389e-29,0.0,2.60627067108469e-24,5.649690959586526e-30,1.2370374289895004e-31,1.188540448566127e-33,1.512747919576296e-34,4.971707520304387e-29,4.911226874722354e-29,1.6807106864603505e-32,3.608754446608008e-34,1.0500092347011787e-28
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.6493281009321837e-25,2.5912964616683438e-28,2.4009289747090976e-28,0.0,0.2099999999789998,4.947121825950653e-24,9.999999946869503e-16,1.4459351294254881e-28,0.0,5.2125413341229154e-24,8.290356108848449e-30,1.8139603873277842e-31,1.7427449397177433e-33,2.219807169914659e-34,1.7021449197049544e-28,1.718312946025816e-28,5.754401526661765e-32,1.2355210131200698e-33,4.037231591185673e-28
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481311646e-25,3.3168471551157424e-28,2.5050957524938167e-28,0.0,0.2099999999789998,5.802517777183059e-24,9.999999938312115e-16,2.6436560944589326e-28,0.0,6.068196764306545e-24,8.650627217369391e-30,1.8926711143528393e-31,1.818356141852387e-33,2.3162726456606437e-34,2.2452920820498344e-28,2.2753995638608404e-28,7.590656431348328e-32,1.6297717010603484e-33,5.960503249630454e-28
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352369840857e-25,7.011256670686857e-28,3.035499401101378e-28,0.0,0.2099999999789998,1.0158082412920137e-23,9.999999894739012e-16,8.742295059565744e-28,0.0,1.0425082633025887e-23,1.0485080720791782e-29,2.2934558720893668e-31,2.2033585230405854e-33,2.8074622685755265e-34,5.010926603585644e-28,5.112011974977295e-28,1.6940626949128524e-31,3.637244791777776e-33,1.5753551730124747e-27
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.6512251543919244e-25,1.682054733772911e-27,3.3683669690375006e-28,0.0,0.2099999999789998,2.0577858004270906e-23,9.999999790478034e-16,4.595924373684537e-27,0.0,2.085016512213803e-23,1.1636336142646853e-29,2.544977987227174e-31,2.4449760281467596e-33,3.1157201314675305e-34,1.2779755934249614e-27,1.310261130535314e-27,4.320536515557447e-31,9.276357272339437e-33,6.277979107182605e-27
