Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513)
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.159608835443928e-25,0.0,5.710128892930277e-29,0.0,0.2099999999789998,3.908587955498848e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.9592151596459076e-30,4.3119677802374444e-32
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.230602707496625e-25,0.0,6.131108029078493e-29,0.0,0.2099999999789998,4.285073976900807e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.1046520301426563e-30,4.6300406028063437e-32
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171280407e-25,0.0,1.2260911805225516e-28,0.0,0.2099999999789998,1.0501778250340102e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.222332953781392e-30,9.261443495263014e-32
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023489669e-25,0.0,2.4520519341519654e-28,0.0,0.2099999999789998,2.343204569313646e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.457694795761809e-30,1.8524249268086046e-31
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100950017e-25,0.0,4.903973435019722e-28,0.0,0.2099999999789998,4.947608524605832e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.6928418457644642e-29,3.7049860765444045e-31
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481551585e-25,0.0,5.708955042016657e-28,0.0,0.2099999999789998,5.80323429006894e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9709411545456054e-29,4.313193823344878e-31
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352370394534e-25,0.0,9.807816411191004e-28,0.0,0.2099999999789998,1.0159969109899823e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.3869865693092835e-29,7.410108356700825e-31
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.651225154606023e-25,0.0,1.9615502261276647e-27,0.0,0.2099999999789998,2.0585042607255013e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.775275981071929e-29,1.4820352839752958e-30
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279831346314e-25,0.0,3.923087355242026e-27,0.0,0.2099999999789998,4.1435206867849785e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3551854663289256e-28,2.9640841496814384e-30
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.651228522081466e-25,0.0,5.708837426629275e-27,0.0,0.2099999999789998,6.041684232279119e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23,1.972113674615997e-28,4.3133162536534225e-30
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.651229167134789e-25,0.0,7.846161449859685e-27,0.0,0.2099999999789998,8.313553409724082e-23,9.99999916491219e-16,0.0,0.0,8.34006570139543e-23,2.7105011462492055e-28,5.928181757476592e-30
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.651231478437476e-25,0.0,1.5692308984650808e-26,0.0,0.2099999999789998,1.6653618160527642e-22,9.99999833082448e-16,0.0,0.0,1.6680130475312014e-22,5.421132279997051e-28,1.1856376478598425e-29
0.000549755813887,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998966628e-11,2.6512361006821786e-25,0.0,3.1384601436456695e-26,0.0,0.2099999999789998,3.3333744879572336e-22,9.99999666264934e-16,0.0,0.0,3.3360257240579153e-22,1.0842393643122021e-27,2.37127639429685e-29
0.0009999999999999998,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998939304e-11,2.65124367181758e-25,0.0,5.708823533153556e-26,0.0,0.2099999999789998,6.065542982946713e-22,9.999993930214727e-16,0.0,0.0,6.068194226618531e-22,1.9722301900966426e-27,4.31332688588898e-29
0.001099511627775,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998933264e-11,2.651245345167356e-25,0.0,6.276917586896656e-26,0.0,0.2099999999789998,6.669398718740135e-22,9.999993326300175e-16,0.0,0.0,6.672049964085302e-22,2.16849127518903e-27,4.742553096021696e-29
0.002199023255551,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998866537e-11,2.651263834125372e-25,0.0,1.2553828284960651e-25,0.0,0.2099999999789998,1.334144272820475e-21,9.999986653606297e-16,0.0,0.0,1.3344093992038874e-21,4.3369936499509825e-27,9.485103334876815e-29
0.004398046511103,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998733084e-11,2.6513008119920562e-25,0.0,2.5107632927359118e-25,0.0,0.2099999999789998,2.6685512938753015e-21,9.99997330823635e-16,0.0,0.0,2.668816423956501e-21,8.673992611515808e-27,1.8970191154225672e-28
