Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637)
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.88902775110666e-32,0.0,0.2099999999789998,9.460521675270144e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28,1.8685909953355239e-34,2.6081512735994125e-35,4.175633512339408e-37,4.974631486253896e-39,1.1270409810210862e-38
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.174579477947549e-32,0.0,0.2099999999789998,1.016682355861225e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28,2.0059385299567554e-34,2.7766920217208826e-35,4.3829241263738974e-37,5.341066940639473e-39,1.226458457751348e-38
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.2313784886871461e-31,0.0,0.2099999999789998,4.0611679366500754e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27,7.397539885940641e-34,7.073402372092441e-35,8.839552761386434e-37,1.9752851706499668e-38,9.798690838520846e-38
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.451802010462134e-31,0.0,0.2099999999789998,1.6200337460691777e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.554833565688834e-33,1.6165059090597402e-34,1.7698765602796493e-36,6.831561018916097e-38,7.818259646255656e-37
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.8746119151197265e-31,0.0,0.2099999999789998,6.444934868278738e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.987588542388913e-33,3.4456663578950952e-34,3.528579733235627e-36,2.1373610601617058e-37,6.221740130996766e-36
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.7993229717330816e-31,0.0,0.2099999999789998,1.010573638971441e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.068501328247022e-32,4.144584137449473e-34,4.1998064919268394e-36,2.859540191324266e-37,1.4488264695931288e-35
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.688483247063735e-31,0.0,0.2099999999789998,2.550237704974996e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2029872922452623e-32,7.084100480987409e-34,7.0228596250877e-36,5.896889391923918e-37,4.925570769670319e-35
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9280352343718766e-30,0.0,0.2099999999789998,9.98562271072038e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.370460357523345e-32,1.4332216370812722e-33,1.3985288314490166e-35,1.4377818848178853e-36,3.8599186180191355e-34
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.844048547028138e-30,0.0,0.2099999999789998,3.831810553130465e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.1941646402177913e-31,2.880906209682502e-33,2.789295125814345e-35,3.1972609513160614e-36,2.9661968629103628e-33
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.7217718701005296e-30,0.0,0.2099999999789998,8.89677368348353e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8424443631138502e-31,4.299631917999198e-33,4.1522670106625893e-35,4.9330800599366147e-36,1.2286504158136901e-32
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.675228938198357e-30,0.0,0.2099999999789998,1.416602070463354e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.516870989888505e-31,5.7755787353762445e-33,5.57021129955758e-35,6.738909526402354e-36,2.1982725075771048e-32
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663526e-25,0.0,1.5337430917282745e-29,0.0,0.2099999999789998,4.9117468631453604e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.163872991859562e-31,1.1564793032401505e-32,1.1131927971369668e-34,1.3826464721209167e-35,1.5299983823569988e-31
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447279e-25,0.0,3.0661819614739433e-29,0.0,0.2099999999789998,1.5440906683802132e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0458029699749863e-30,2.3143209061125307e-32,2.2255350198772324e-34,2.8001984233803693e-35,9.659614204996924e-31
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.159608835443844e-25,0.0,5.710083817276536e-29,0.0,0.2099999999789998,3.9085404001448153e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.9591993328590542e-30,4.3119337416669437e-32,4.144648222238015e-34,5.245888773075902e-35,4.755535411637535e-30
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.23060270749653e-25,0.0,6.131059625772918e-29,0.0,0.2099999999789998,4.285020387589922e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.1046350537421385e-30,4.630004050012405e-32,4.4502194105885985e-34,5.635304314365854e-35,5.358931097931583e-30
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171274576e-25,0.0,1.2260814948561607e-28,0.0,0.2099999999789998,1.050152057977185e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.222299238059925e-30,9.26137033329982e-32,8.899588187789955e-34,1.1305516141305188e-34,2.576705688369127e-29
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023486849e-25,0.0,2.4520325578139196e-28,0.0,0.2099999999789998,2.343096697870319e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.457627601398526e-30,1.8524102887784427e-31,1.779832573057894e-33,2.264593978100117e-34,1.0787144360899892e-28
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100938869e-25,0.0,4.903934677338417e-28,0.0,0.2099999999789998,4.947213477699467e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.6928284305997907e-29,3.7049567948465973e-31,3.559580076976679e-33,4.532678700127803e-34,3.9504690747884742e-28
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481397903e-25,0.0,5.70890992131564e-28,0.0,0.2099999999789998,5.8026977389892486e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9709255411302285e-29,4.31315973403675e-31,4.1438826352952454e-33,5.277305509630835e-34,5.365510812277715e-28
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352370025934e-25,0.0,9.807738890823382e-28,0.0,0.2099999999789998,1.0158712038022408e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.3869597626879884e-29,7.41004978766788e-31,7.119075066258243e-33,9.068848120535664e-34,1.2570718811006653e-27
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.6512251545027813e-25,0.0,1.9615347215537204e-27,0.0,0.2099999999789998,2.0581586702597455e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.775222391537672e-29,1.4820235696050347e-30,1.4238064970597338e-32,1.8141186866761346e-33,3.45590466788501e-27
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.651227982883076e-25,0.0,3.92305634559404e-27,0.0,0.2099999999789998,4.142685972725326e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3551747507930187e-28,2.9640607203774887e-30,2.847604448237941e-32,3.6285863980852545e-33,8.347140621680701e-27
