Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512)
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.799324398608654e-31,0.0,0.2099999999789998,1.0105737838540875e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.0685156447895047e-32,4.144585137495645e-34,4.199807524250618e-36
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.688486835695284e-31,0.0,0.2099999999789998,2.5502381975320726e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2030103487219313e-32,7.084103065169427e-34,7.022862224582665e-36
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9280363321620363e-30,0.0,0.2099999999789998,9.985626570638994e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.370494274749977e-32,1.4332224485786582e-33,1.3985296275541497e-35
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.8440513078333084e-30,0.0,0.2099999999789998,3.831813519327326e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.1941689839193084e-31,2.8809082752791364e-33,2.7892971289490977e-35
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.7217763033580015e-30,0.0,0.2099999999789998,8.896785969987686e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8424493277285093e-31,4.299635246949134e-33,4.1522702277596325e-35
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.67523511136273e-30,0.0,0.2099999999789998,1.416604268735861e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.5168766004594403e-31,5.775583378633994e-33,5.570215779579351e-35
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663535e-25,0.0,1.5337443935285102e-29,0.0,0.2099999999789998,4.9117621631291726e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.1638809773899215e-31,1.1564802847243752e-32,1.1131937419810452e-34
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447398e-25,0.0,3.06618463247365e-29,0.0,0.2099999999789998,1.5441003279944065e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0458042416083835e-30,2.3143229221016577e-32,2.2255369585739144e-34
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.159608835443928e-25,0.0,5.710088850554176e-29,0.0,0.2099999999789998,3.908587955498848e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.9592014205968444e-30,4.311937542486579e-32,4.144651875627229e-34
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.230602707496625e-25,0.0,6.13106503518474e-29,0.0,0.2099999999789998,4.285073976900807e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.104637271424316e-30,4.630008135022039e-32,4.450223337000077e-34
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171280407e-25,0.0,1.2260825834798026e-28,0.0,0.2099999999789998,1.0501778250340102e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.222303347836456e-30,9.261378556350774e-32,8.899596089631298e-34
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023489669e-25,0.0,2.45203474180248e-28,0.0,0.2099999999789998,2.343204569313646e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.457635495363718e-30,1.8524119386918005e-31,1.7798341583280003e-33
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100950017e-25,0.0,4.903939052056808e-28,0.0,0.2099999999789998,4.947608524605832e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.692829976834039e-29,3.7049600999764753e-31,3.5595832524187255e-33
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481551585e-25,0.0,5.708915015264733e-28,0.0,0.2099999999789998,5.80323429006894e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9709273358391732e-29,4.313163582584863e-31,4.1438863328009724e-33
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352370394534e-25,0.0,9.807747647001414e-28,0.0,0.2099999999789998,1.0159969109899823e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.386962822597687e-29,7.410056403230781e-31,7.119081422044151e-33
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.651225154606023e-25,0.0,1.9615364734634423e-27,0.0,0.2099999999789998,2.0585042607255013e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.775228478798243e-29,1.4820248932479224e-30,1.4238077687070906e-32
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279831346314e-25,0.0,3.923059850087563e-27,0.0,0.2099999999789998,4.1435206867849785e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3551759649892372e-28,2.964063368193544e-30,2.8476069920228016e-32
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.651228522081466e-25,0.0,5.708797401441383e-27,0.0,0.2099999999789998,6.041684232279119e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23,1.972099847944386e-28,4.313286012593713e-30,4.143809611355891e-32
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.651229167134789e-25,0.0,7.846106439725887e-27,0.0,0.2099999999789998,8.313553409724082e-23,9.99999916491219e-16,0.0,0.0,8.34006570139543e-23,2.710482142685276e-28,5.928140194468524e-30,5.695205319895675e-32
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.651231478437476e-25,0.0,1.5692198964562927e-26,0.0,0.2099999999789998,1.6653618160527642e-22,9.99999833082448e-16,0.0,0.0,1.6680130475312014e-22,5.421094271986221e-28,1.185629335255347e-29,1.1390401500607265e-31
0.000549755813887,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998966628e-11,2.6512361006821786e-25,0.0,3.1384381396479005e-26,0.0,0.2099999999789998,3.3333744879572336e-22,9.99999666264934e-16,0.0,0.0,3.3360257240579153e-22,1.0842317626223732e-27,2.3712597690863644e-29,2.2780791961894126e-31
0.0009999999999999998,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998939304e-11,2.65124367181758e-25,0.0,5.708783508137014e-26,0.0,0.2099999999789998,6.065542982946713e-22,9.999993930214727e-16,0.0,0.0,6.068194226618531e-22,1.9722163626336767e-27,4.3132966448105934e-29,4.143800391725907e-31
0.001099511627775,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998933264e-11,2.651245345167356e-25,0.0,6.276873578928267e-26,0.0,0.2099999999789998,6.669398718740135e-22,9.999993326300175e-16,0.0,0.0,6.672049964085302e-22,2.1684760717242455e-27,4.742519845604777e-29,4.556156528392511e-31
0.002199023255551,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998866537e-11,2.651263834125372e-25,0.0,1.255374026908039e-25,0.0,0.2099999999789998,1.334144272820475e-21,9.999986653606297e-16,0.0,0.0,1.3344093992038874e-21,4.336963242946431e-27,9.485036834069216e-29,9.11230815258364e-31
0.004398046511103,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998733084e-11,2.6513008119920562e-25,0.0,2.510745689577257e-25,0.0,0.2099999999789998,2.6685512938753015e-21,9.99997330823635e-16,0.0,0.0,2.668816423956501e-21,8.673931797472304e-27,1.897005815272546e-28,1.8224599240121864e-30
