Time (s),dln[C7H7O2(7)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H7O2(7)]/dln[k3]: O2(6)+tolyl(2)=C7H7O2(7),dln[C7H7O2(7)]/dln[k8]: C7H7O2(7)=S(637),dln[C7H7O2(7)]/dln[k17]: O2(6)+S(637)=HO2(15)+C7H6O2(9),dln[C7H7O2(7)]/dG[C7H7O2(7)],dln[C7H7O2(7)]/dG[S(637)]
9.999999999999997e-06,0.5712217636972654,0.02601827557631974,-5.975858709537163e-05,-3.991140517929024e-06,-1.8188172996517864e-05,1.2525893262736627e-05
1.7179869183e-05,0.9999999931334769,0.026087548235092618,-0.00015120081285240942,-1.5466276934676584e-05,-5.8267642329083134e-05,4.221216420707409e-05
3.4359738367e-05,0.999999986185212,0.012877336946891615,-0.00026550725377163343,-5.240060562640935e-05,-0.00014105555831265854,0.00011457382554927722
6.8719476735e-05,0.9999999722842637,0.006396533826550223,-0.00047955557291171926,-0.00014364977345955493,-0.0003117223729509199,0.00027674919031537724
9.999999999999998e-05,0.7268960083318269,0.0031887027238850746,-0.0005391650482768032,-0.0001941267037195901,-0.00038262952420553954,0.00035487241354147927
0.000137438953471,0.9999999444769819,0.003187088311230824,-0.0008982320887414916,-0.00034072781111687135,-0.0006545226175526096,0.0006144191929351136
0.000274877906943,0.9999998888468391,0.001590024475653639,-0.0017296789310849772,-0.0007433563417840518,-0.001339574575227055,0.0012968278817704572
0.000549755813887,0.9999997775272129,0.0007933971996959659,-0.0033857796247650064,-0.0015511869418371336,-0.0027061426387467434,0.0026621524739163112
0.0009999999999999998,0.9099054606069269,0.0003960924600158542,-0.005778115043565962,-0.0027295907666065994,-0.004688966717054589,0.004648568017051673
0.001099511627775,0.9999995546524508,0.00039556019663632125,-0.0066793196382277905,-0.0031606787068707795,-0.005424897852760605,0.005380453723721867
0.002199023255551,0.9999991079648659,0.00019676432016183616,-0.013196755921616406,-0.006347084107649263,-0.010805423259137126,0.01076108281098787
0.004398046511103,0.9999982108637734,9.740422767786639e-05,-0.025961479962425642,-0.012588535273063436,-0.021343699285572615,0.021300055695135413
0.008796093022207001,0.9999964019636747,4.774784730696742e-05,-0.05045957054707068,-0.024567492929946925,-0.04156890615103855,0.04152684012546871
0.009999999999999998,0.6011383495829548,2.5309579749984308e-05,-0.036522633206010215,-0.01779497190433686,-0.030098576084481368,0.030073702618338614
0.017592186044415002,0.999992726983776,2.295315230857112e-05,-0.09568050361867235,-0.04667957110114615,-0.07890259660315513,0.07886355645686235
0.035184372088831004,0.9999851606812189,1.0616135783017196e-05,-0.1733478686174688,-0.08465734185327235,-0.14302357640093213,0.14298978473594884
0.070368744177663,0.999969253723825,4.554890420970874e-06,-0.2909254243631825,-0.14215041994555896,-0.24009380553589912,0.24006798082056305
0.09999999999999998,0.8418014962707228,2.6307609365664148e-06,-0.30593773940878183,-0.14950796036965416,-0.25250194223954253,0.2524843401899015
0.140737488355327,0.9999349547442145,1.6962396280514938e-06,-0.4358474272750458,-0.21301439835666758,-0.35973919538184135,0.3597231983049892
0.281474976710655,0.9998598637184719,4.915967336907447e-07,-0.5666650030781605,-0.27698159570688585,-0.4677401870334603,0.4677330634701021
0.562949953421311,0.9996977547751223,9.576545382207748e-08,-0.6425488768596221,-0.3140873041569913,-0.5303887539590489,0.5303867782059777
0.9999999999999998,0.9963444465069169,2.9452723094268984e-08,-0.6597454696138239,-0.3224964257201256,-0.5445862759036412,0.544585607698149
1.1258999068426232,0.9993605391410566,1.0731641864388688e-08,-0.6672586980878318,-0.32616991650781496,-0.5507888049138299,0.5507885055003084
2.2517998136852473,0.9986788917888213,4.1194913756555266e-10,-0.6713563571469232,-0.32817359050168504,-0.5541717696430606,0.5541717482253788
4.5035996273704955,0.9973144372350973,-2.435990366891182e-10,-0.6716888063640835,-0.32833615157448437,-0.5544462346388637,0.5544462357757386
9.007199254740993,0.99458893168314,-2.6481441323467907e-10,-0.6717019352080171,-0.32834257131879013,-0.5544570736118397,0.5544570756394718
9.999999999999998,0.998827399144448,-2.661420184533217e-10,-0.6749691193053908,-0.32993964224305905,-0.5571539741880388,0.5571539762274507
18.014398509481985,0.9891525917992805,-2.651732201668728e-10,-0.6717021901276107,-0.32834269596947013,-0.5544572840694664,0.5544572861144927
36.02879701896397,0.9783382109429788,-2.6520063829703145e-10,-0.6717021953826297,-0.32834269853919124,-0.5544572884077403,0.5544572904533189
72.05759403792794,0.9569390237402496,-2.6524889496800634e-10,-0.6717022009377063,-0.3283427012557404,-0.5544572929935595,0.5544572950398985
99.99999999999999,0.9663173171091622,-2.723881535141457e-10,-0.6896921577167779,-0.33713658490925963,-0.5693071218657251,0.5693071239674228
144.11518807585588,0.9150309747833383,-2.653396556459622e-10,-0.6717022114406997,-0.32834270639192376,-0.5544573016639832,0.5544573037117465
